source_file,source_relative_path,sheet_name,source_sha256,file_year_guess,file_period_guess,year,period,row_number_in_cleaned_table,label,category,value_column,value,raw_value,unit,label_columns_used,normalized_indicator,period_order
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,8edf985ea057843bccc812e75e542ed16e072e551f2ca6dc0d134f545f01aa98,2022,,2022,Q1,20,الخدمات البلدية | Municipal Services,Expenditure,Actual expenditures in Q1 of FY 2022 Vs. Q1 of FY 2021,6869.261205600006,6869.261205600006,unspecified,المصروفات الفعلية للربع الأول من السنة المالية 1443/ 1444هـ (2022م) | Column_7,total_expenditure,1
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,MoF_Web_Crawl\2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,b4d12a74e619cb2343f16a110f3a56af86aa312d38f8c147590071cf711c0de3,2022,,2022,Q1,43,الخدمات البلدية | Municipal Services,Expenditure,Q1,22694.81755831002,22694.81755831002,unspecified,المصروفات* | Column_7,total_expenditure,1
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,MoF_Web_Crawl\2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,88426432ee24926c79d72d31cca91bdf1db43b18e1033104f13838c415335b68,2022,,2022,Q1,43,الخدمات البلدية | Municipal Services,Expenditure,Q1,0.96,0.96,unspecified,المصروفات* | Expenditures*,total_expenditure,1
2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,MoF_Web_Crawl\2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,Expenditures,ca3b02390734746828aafdb87b9144ca2240fdddf506d0c5faecb2aa760f933b,2023,,2022,Q1,20,الخدمات البلدية | Municipal Services,Expenditure,Actual expenditures in Q1 of FY 2022 Vs. Q1 of FY 2023,7595.986516910002,7595.986516910002,unspecified,المصروفات الفعلية للربع الأول من السنة المالية 1444/ 1445هـ (2023م) | Column_7,total_expenditure,1
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,8edf985ea057843bccc812e75e542ed16e072e551f2ca6dc0d134f545f01aa98,2022,,2022,Q1,22,الصحة والتنمية الاجتماعية | Health & Social Development,Expenditure,Actual expenditures in Q1 of FY 2022 Vs. Q1 of FY 2021,34404.67276169754,34404.67276169754,unspecified,المصروفات الفعلية للربع الأول من السنة المالية 1443/ 1444هـ (2022م) | Column_7,total_expenditure,1
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,MoF_Web_Crawl\2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,b4d12a74e619cb2343f16a110f3a56af86aa312d38f8c147590071cf711c0de3,2022,,2022,Q1,45,الصحة والتنمية الاجتماعية | Health & Social Development,Expenditure,Q1,133125.73499380023,133125.73499380023,unspecified,المصروفات* | Column_7,total_expenditure,1
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,MoF_Web_Crawl\2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,88426432ee24926c79d72d31cca91bdf1db43b18e1033104f13838c415335b68,2022,,2022,Q1,45,الصحة والتنمية الاجتماعية | Health & Social Development,Expenditure,Q1,0.15,0.15,unspecified,المصروفات* | Expenditures*,total_expenditure,1
2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,MoF_Web_Crawl\2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,Expenditures,ca3b02390734746828aafdb87b9144ca2240fdddf506d0c5faecb2aa760f933b,2023,,2022,Q1,22,الصحة والتنمية الاجتماعية | Health & Social Development,Expenditure,Actual expenditures in Q1 of FY 2022 Vs. Q1 of FY 2023,37726.60881526997,37726.60881526997,unspecified,المصروفات الفعلية للربع الأول من السنة المالية 1444/ 1445هـ (2023م) | Column_7,total_expenditure,1
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,8edf985ea057843bccc812e75e542ed16e072e551f2ca6dc0d134f545f01aa98,2022,,2022,Q1,18,العسكري | Military,Expenditure,Actual expenditures in Q1 of FY 2022 Vs. Q1 of FY 2021,43533.41610658989,43533.41610658989,unspecified,المصروفات الفعلية للربع الأول من السنة المالية 1443/ 1444هـ (2022م) | Column_7,total_expenditure,1
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,MoF_Web_Crawl\2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,b4d12a74e619cb2343f16a110f3a56af86aa312d38f8c147590071cf711c0de3,2022,,2022,Q1,41,العسكري | Military,Expenditure,Q1,134425.58394176976,134425.58394176976,unspecified,المصروفات* | Column_7,total_expenditure,1
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,MoF_Web_Crawl\2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,88426432ee24926c79d72d31cca91bdf1db43b18e1033104f13838c415335b68,2022,,2022,Q1,41,العسكري | Military,Expenditure,Q1,0.13,0.13,unspecified,المصروفات* | Expenditures*,total_expenditure,1
2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,MoF_Web_Crawl\2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,Expenditures,ca3b02390734746828aafdb87b9144ca2240fdddf506d0c5faecb2aa760f933b,2023,,2022,Q1,18,العسكري | Military,Expenditure,Actual expenditures in Q1 of FY 2022 Vs. Q1 of FY 2023,42644.75141034489,42644.75141034489,unspecified,المصروفات الفعلية للربع الأول من السنة المالية 1444/ 1445هـ (2023م) | Column_7,total_expenditure,1
